area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
48113,1,52421,77,0,2015,A,,1,14,1194548,0,0,1631,84820,,8.69,13.09,11.32,0,0,0.86,0.86,,0,0,0,0,-41985,-3.4,0,0,0,0,-48,-2.9,-2465,-2.8
48113,1,524210,78,0,2015,A,,1,14,1194548,0,0,1631,84820,,8.69,13.09,11.32,0,0,0.86,0.86,,0,0,0,0,-41985,-3.4,0,0,0,0,-48,-2.9,-2465,-2.8
48113,1,54,74,0,2015,A,,3,114,13011608,0,0,2190,113887,,0.3,0.16,0.18,0,0,1.1,1.1,,0,0,-11,-8.8,-1469291,-10.1,0,0,0,0,-45,-2,-2348,-2
48113,1,541,75,0,2015,A,,3,114,13011608,0,0,2190,113887,,0.3,0.16,0.18,0,0,1.1,1.1,,0,0,-11,-8.8,-1469291,-10.1,0,0,0,0,-45,-2,-2348,-2
48113,1,5413,76,0,2015,A,,2,111,12748137,0,0,2204,114590,,0.32,0.2,0.23,0,0,1.15,1.15,,0,0,-11,-9,-1508861,-10.6,0,0,0,0,-51,-2.3,-2671,-2.3
48113,1,54133,77,0,2015,A,,2,111,12748137,0,0,2204,114590,,0.32,0.21,0.25,0,0,1.14,1.14,,0,0,-11,-9,-1508861,-10.6,0,0,0,0,-51,-2.3,-2671,-2.3
48113,1,541330,78,0,2015,A,,2,111,12748137,0,0,2204,114590,,0.32,0.21,0.25,0,0,1.14,1.14,,0,0,-11,-9,-1508861,-10.6,0,0,0,0,-51,-2.3,-2671,-2.3
48113,1,5416,76,0,2015,A,,1,3,263471,0,0,1689,87824,,2.96,0.32,0.24,0,0,0.75,0.75,,0,0,0,0,39570,17.7,0,0,0,0,254,17.7,13190,17.7
48113,1,54169,77,0,2015,A,,1,3,263471,0,0,1689,87824,,18.63,1.88,1.49,0,0,0.79,0.79,,0,0,0,0,39570,17.7,0,0,0,0,254,17.7,13190,17.7
48113,1,541690,78,0,2015,A,,1,3,263471,0,0,1689,87824,,18.63,1.88,1.49,0,0,0.79,0.79,,0,0,0,0,39570,17.7,0,0,0,0,254,17.7,13190,17.7
48113,1,62,74,0,2015,A,,1,4270,350437774,0,0,1578,82065,,0.11,0.97,0.89,0,0,0.92,0.92,,0,0,92,2.2,13957593,4.1,0,0,0,0,29,1.9,1519,1.9
48113,1,622,75,0,2015,A,,1,4270,350437774,0,0,1578,82065,,0.35,1.12,1.01,0,0,0.9,0.9,,0,0,92,2.2,13957593,4.1,0,0,0,0,29,1.9,1519,1.9
48113,1,6221,76,0,2015,A,,1,4270,350437774,0,0,1578,82065,,0.36,1.15,1.03,0,0,0.9,0.9,,0,0,92,2.2,13957593,4.1,0,0,0,0,29,1.9,1519,1.9
48113,1,62211,77,0,2015,A,,1,4270,350437774,0,0,1578,82065,,0.36,1.15,1.03,0,0,0.9,0.9,,0,0,92,2.2,13957593,4.1,0,0,0,0,29,1.9,1519,1.9
48113,1,622110,78,0,2015,A,,1,4270,350437774,0,0,1578,82065,,0.36,1.15,1.03,0,0,0.9,0.9,,0,0,92,2.2,13957593,4.1,0,0,0,0,29,1.9,1519,1.9
48113,1,81,74,0,2015,A,,1,35,1818300,0,0,987,51340,,0.78,0.67,0.56,0,0,0.83,0.83,,0,0,-1,-2.8,-7639,-0.4,0,0,0,0,16,1.6,853,1.7
48113,1,812,75,0,2015,A,,1,35,1818300,0,0,987,51340,,1.47,2.25,1.89,0,0,0.83,0.83,,0,0,-1,-2.8,-7639,-0.4,0,0,0,0,16,1.6,853,1.7
48113,1,8122,76,0,2015,A,,1,35,1818300,0,0,987,51340,,1.65,2.3,1.91,0,0,0.82,0.82,,0,0,-1,-2.8,-7639,-0.4,0,0,0,0,16,1.6,853,1.7
48113,1,81222,77,0,2015,A,,1,35,1818300,0,0,987,51340,,1.65,2.3,1.91,0,0,0.82,0.82,,0,0,-1,-2.8,-7639,-0.4,0,0,0,0,16,1.6,853,1.7
48113,1,812220,78,0,2015,A,,1,35,1818300,0,0,987,51340,,1.65,2.3,1.91,0,0,0.82,0.82,,0,0,-1,-2.8,-7639,-0.4,0,0,0,0,16,1.6,853,1.7
48113,1,92,74,0,2015,A,,96,10815,986728106,0,0,1755,91234,,0.5,0.62,0.55,0,0,0.87,0.87,,-5,-5,167,1.6,24489692,2.5,0,0,0,0,17,1,865,1
48113,1,921,75,0,2015,A,,12,2273,203255856,0,0,1720,89428,,0.78,1.3,1.19,0,0,0.92,0.92,,-2,-14.3,-59,-2.5,-943281,-0.5,0,0,0,0,36,2.1,1845,2.1
48113,1,9211,76,0,2015,A,,12,2273,203255856,0,0,1720,89428,,0.78,1.3,1.19,0,0,0.92,0.92,,-2,-14.3,-59,-2.5,-943281,-0.5,0,0,0,0,36,2.1,1845,2.1
48113,1,92113,77,0,2015,A,,4,2070,183296707,0,0,1703,88531,,0.93,1.84,1.65,0,0,0.9,0.9,,-2,-33.3,-83,-3.9,-3346974,-1.8,0,0,0,0,36,2.2,1854,2.1
48113,1,921130,78,0,2015,A,,4,2070,183296707,0,0,1703,88531,,0.93,1.84,1.65,0,0,0.9,0.9,,-2,-33.3,-83,-3.9,-3346974,-1.8,0,0,0,0,36,2.2,1854,2.1
48113,1,92119,77,0,2015,A,,8,202,19959149,0,0,1896,98604,,0.72,0.48,0.48,0,0,1,1,,0,0,24,13.5,2403693,13.7,0,0,0,0,1,0.1,70,0.1
48113,1,921190,78,0,2015,A,,8,202,19959149,0,0,1896,98604,,0.72,0.48,0.48,0,0,1,1,,0,0,24,13.5,2403693,13.7,0,0,0,0,1,0.1,70,0.1
48113,1,922,75,0,2015,A,,13,2861,275805436,0,0,1854,96413,,0.47,0.99,0.8,0,0,0.81,0.81,,-2,-13.3,-116,-3.9,-6158667,-2.2,0,0,0,0,33,1.8,1696,1.8
48113,1,9221,76,0,2015,A,,13,2861,275805436,0,0,1854,96413,,0.47,0.99,0.8,0,0,0.81,0.81,,-2,-13.3,-116,-3.9,-6158667,-2.2,0,0,0,0,33,1.8,1696,1.8
48113,1,92211,77,0,2015,A,,1,247,23937317,0,0,1864,96912,,0.21,0.64,0.55,0,0,0.85,0.85,,0,0,0,0,325430,1.4,0,0,0,0,25,1.4,1285,1.3
48113,1,922110,78,0,2015,A,,1,247,23937317,0,0,1864,96912,,0.21,0.64,0.55,0,0,0.85,0.85,,0,0,0,0,325430,1.4,0,0,0,0,25,1.4,1285,1.3
48113,1,92212,77,0,2015,A,,7,1419,151303939,0,0,2051,106627,,0.49,0.9,0.75,0,0,0.83,0.83,,0,0,-102,-6.7,-5746149,-3.7,0,0,0,0,65,3.3,3344,3.2
48113,1,922120,78,0,2015,A,,7,1419,151303939,0,0,2051,106627,,0.49,0.9,0.75,0,0,0.83,0.83,,0,0,-102,-6.7,-5746149,-3.7,0,0,0,0,65,3.3,3344,3.2
